songartist;songtitle;nn;anno
PINK MARTINI;Sympathique;2;2023
PINO DANIELE;Quando;1;2023
PLANET FUNK;Any Given Day;1;2023
POLO & PAN;Ani Kuni (Edit);1;2023
POOLSIDE;Harvest Moon;2;2023
PORTUGAL. THE MAN;Feel It Still;1;2023
POST MALONE;Chemical;8;2023
POST MALONE;Enough Is Enough;11;2023
PUENTES, DANIT, NICK BARBACHANO;Colibri Dorado (feat. Jonas Winter);1;2023
PULP;Disco 2000;1;2023
PURPLE DISCO MACHINE, DUKE DUMONT, NOTHING BUT THIEVES;Something On My Mind;1;2023
QUEEN;A Kind of Magic;1;2023
QUEEN;Don't Stop Me Now;1;2023
QUINZE & BOB SINCLAR;Never Knew Love Like This Before;3;2023
R.I.O. & MADCON;Shine On (Original Extended);1;2023
RADIOHEAD;(Nice Dream);1;2023
RADIOHEAD;Creep;1;2023
RADIOHEAD;High and Dry;1;2023
RAF;Sei la più bella del mondo;1;2023
RAHILL;Fables (feat. Beck);2;2023
RAMONES;Blitzkrieg Bop;1;2023
RANDY CRAWFORD;Street Life;1;2023
RANDY CRAWFORD;Street Life (Edit);1;2023
RAY CHARLES;Georgia On My Mind;1;2023
RAY CHARLES;I Got A Woman;1;2023
RAY CHARLES;Shake A Tail Feather (with The Blues Brothers);3;2023
RED HOT CHILI PEPPERS;Around The World;2;2023
RENATO ZERO;Amico;1;2023
RENATO ZERO;Mi vendo;2;2023
RENZO ARBORE;Sì, la vita è tutt'un quiz;1;2023
RETTORE;Splendido Splendente;1;2023
RICCARDO COCCIANTE;Bella senz'anima;1;2023
RICCARDO COCCIANTE;Celeste nostalgia;1;2023
RICHARD SANDERSON;Reality;2;2023
RINO GAETANO;A Mano A Mano (E Cantava Le Canzoni Live);1;2023
RINO GAETANO;Sfiorivano Le Viole;1;2023
RITA ORA;Praising You (feat. Fatboy Slim);1;2023
RITON & NIGHTCRAWLERS;Friday (feat. Mufasa & Hypeman) (Dopamine Re Edit);1;2023
ROBIN S;Show Me Love;1;2023
ROD STEWART;Da Ya Think I'm Sexy;1;2023
RODRIGUEZ;I Think Of You;1;2023
ROO PANES;Tiger Striped Sky;1;2023
ROSA LINN;SNAP;3;2023
ROSALÍA;LLYLM;9;2023
ROY ORBISON;You Got It;1;2023
RYAN PARIS;Dolce Vita;1;2023
SAM COOKE;A Change Is Gonna Come;1;2023
SAM SMITH;Unholy (feat. Kim Petras);2;2023
SAM SMITH, CALVIN HARRIS, JESSIE REYEZ;I'm not here to make friends;5;2023
